Fighter,Summary,Link
Roberto Jimenez,Roberto Jimenez is an Ecuatorian / American grappler and a jiu-jitsu black belt under Mr. Raul Jimenez (Gacho) — Roberto’s father. Widely regarded as …,https://www.bjjheroes.com/bjj-fighters/roberto-jimenez
Brenda Larissa,"Brenda Larissa is a Brazilian jiu-jitsu black belt under  Michael Langhi and Fábio Gurgel, who worked extensively with coach Melqui Galvão while representing the Alliance Team in the …",https://www.bjjheroes.com/bjj-fighters/brenda-larissa
Diego “Pato” Oliveira,"Diego Oliveira Batista, commonly known as Diego “Pato”, is a Brazilian jiu-jitsu black belt under Cicero Costha, who worked extensively with coach Nabil Abdel …",https://www.bjjheroes.com/bjj-fighters/diego-oliveira
Eduardo Avelar,"Eduardo Avelar de Carvalho is a Brazilian jiu-jitsu black belt under Leandro Escobar (Tatu), who also worked extensively with coach Luis Carlos Tabinha under …",https://www.bjjheroes.com/bjj-fighters/eduardo-avelar
Gabriel Henrique Oliveira,"Gabriel Henrique Oliveira is a professional grappler, representative of the Alliance Jiu-Jitsu Academy – Porto Alegre as well as Brazilian jiu-jitsu black belt under …",https://www.bjjheroes.com/bjj-fighters/gabriel-henrique-oliveira
Laurah Hallock,"Laurah Hallock is a Brazilian jiu-jitsu black belt under Vitor Henrique Oliveira and a member of the GF Team (Ohio) in jiu-jitsu’s sporting circuit, …",https://www.bjjheroes.com/bjj-fighters/laurah-hallock
Anna Rodrigues,"Anna Rodrigues (often spelled Ana Rodrigues [one “n”]) is a Brazilian jiu-jitsu black belt under Isaque Bahiense, who worked extensively with other references of …",https://www.bjjheroes.com/bjj-fighters/anna-rodrigues
Jason Rau,"Jason Rau is a professional grappler and a black belt in jiu-jitsu under Matt Serra, who also worked extensively with John Danaher at the …",https://www.bjjheroes.com/bjj-fighters/jason-rau
Luan Azevedo,Luan Azevedo is a jiu-jitsu black belt under José Tiago Barros and Cicero Costha as well as a member of the PSLPB (Projeto Social …,https://www.bjjheroes.com/bjj-fighters/luan-azevedo
Kyle Boehm,"Kyle Boehm is a professional grappler, a black belt under the 10th Planet system and a student of John Botello, leader of the team’s …",https://www.bjjheroes.com/bjj-fighters/kyle-boehm
Matheus Godoy,"Matheus Godoy Romero is a jiu-jitsu athlete from Brazil’s “swampland” of Pantanal and a black belt under Alan Régis (Tatuapú), also known as one …",https://www.bjjheroes.com/bjj-fighters/matheus-godoy
Lucas Alves,"Lucas Jose Alves de Oliveira, commonly known as Lucas Alves is a Brazilian jiu-jitsu black belt under Luciano Nucci, Michael Langhi and Fábio Gurgel, …",https://www.bjjheroes.com/bjj-fighters/lucas-alves
Matheus Luna,"José Matheus Macedo de Lira Luna, commonly known as Matheus Luna, is a Brazilian jiu-jitsu black belt under Ricardo Feliciano (Pantcho) and Lucas Leite of the Checkmat Team, …",https://www.bjjheroes.com/bjj-fighters/matheus-luna
Marcelo Gomide,"Marcelo Gomide is a Brazilian jiu-jitsu black belt under Erik Wanderley, who also worked extensively with coaches Sergio Benini and Cláudio Mattos (Caloquinha). One …",https://www.bjjheroes.com/bjj-fighters/marcelo-gomide
Angelo Claiborne,"Angelo Claiborne is a Brazilian jiu-jitsu black belt under Lloyd Irvin, who worked extensively with coach Donnie Achnick (Master Donald). Claiborne is one of …",https://www.bjjheroes.com/bjj-fighters/angelo-claiborne
